Child_Age,Child_Gender,Lack_of_School_Material,Lack_of_School_Fees,Job_opportunity,Pregnancy,Family_conflicts,Drug_abuse,Lack_of_motivation,Illness,Absenteism,Bad_Discipline,Performance,Year_of_Study,Dropped_out,Social_activity_Dance,Social_activity_None,Social_activity_Other,Social_activity_Sport
0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0
3,0,1,1,0,0,1,0,0,0,0,1,2,2,1,0,0,1,0
3,0,1,0,1,0,1,0,1,0,0,1,2,2,1,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,4,1,1,0,0,1,0
2,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1
2,0,0,1,0,0,1,0,1,0,1,0,2,2,1,0,0,0,1
1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0
3,0,1,0,0,0,1,1,0,0,0,1,1,2,1,0,0,0,1
1,0,0,1,0,0,1,0,0,0,1,1,2,1,1,0,0,1,0
3,1,1,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0
3,0,0,1,0,0,1,0,0,0,0,0,2,2,1,0,1,0,0
1,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0
2,1,1,0,0,1,1,0,0,0,0,1,1,2,1,0,1,0,0
0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0
0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0
0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
3,0,1,0,0,0,1,0,1,0,0,0,1,2,1,1,0,0,0
3,0,1,0,0,0,1,0,1,0,1,1,0,2,1,0,0,0,1
3,1,1,0,0,1,1,0,0,0,1,1,1,2,1,1,0,0,0
3,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1
2,0,1,0,0,0,1,0,1,0,1,1,1,2,1,1,0,0,0
3,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0
2,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,1,0,0
0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0
3,0,0,0,0,0,1,0,1,0,0,1,1,2,1,0,1,0,0
2,0,1,0,1,0,1,1,1,0,1,1,2,2,1,0,1,0,0
2,0,1,0,1,0,1,0,1,0,0,1,1,2,1,0,1,0,0
3,0,1,0,0,0,0,0,1,0,1,1,0,2,1,0,1,0,0
1,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,0,1,0
3,0,1,0,1,0,1,0,1,0,1,0,0,2,1,0,1,0,0
3,0,1,0,1,0,1,0,1,0,0,1,0,2,1,0,1,0,0
2,0,1,0,0,0,1,0,0,0,0,0,4,2,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
1,0,1,1,0,0,1,0,0,0,1,1,2,1,1,0,1,0,0
1,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0
3,0,1,0,1,0,1,0,0,0,1,1,2,2,1,0,0,0,1
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
0,1,1,0,0,0,1,0,0,0,1,0,3,0,1,1,0,0,0
3,0,1,0,0,0,1,0,1,0,1,1,2,2,1,0,1,0,0
0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0
1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0
2,0,1,0,0,0,1,1,0,0,1,1,2,2,1,0,0,1,0
2,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1
0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0
1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0
3,1,1,0,0,1,1,0,0,0,1,1,2,2,1,1,0,0,0
2,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0
2,1,1,0,0,1,1,0,0,0,1,1,1,2,1,1,0,0,0
3,1,1,0,0,1,1,0,0,0,1,1,0,2,1,0,1,0,0
2,0,1,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0,1
2,0,1,1,0,0,1,0,0,0,1,1,0,2,1,0,0,0,1
0,0,1,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1
0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0
3,0,0,0,0,0,1,0,0,0,1,1,2,2,1,0,1,0,0
3,0,1,0,1,0,1,0,0,0,1,1,1,2,1,0,1,0,0
3,0,1,0,1,0,1,0,1,0,1,1,1,2,1,0,1,0,0
2,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,0,1,0
3,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,1,0,0
1,0,1,1,0,0,1,0,0,0,1,1,2,1,1,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
3,0,1,0,0,0,1,0,1,0,1,1,0,2,1,1,0,0,0
3,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,1
2,1,1,0,0,1,1,0,0,0,1,1,2,2,1,1,0,0,0
2,0,1,0,0,0,0,0,0,0,1,0,4,2,1,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0
3,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0
2,0,0,0,0,0,1,0,0,0,1,1,0,2,1,1,0,0,0
2,0,1,0,0,0,1,0,0,1,1,0,1,2,1,1,0,0,0
1,0,1,0,0,0,1,0,0,0,1,0,3,1,1,0,1,0,0
1,0,1,0,0,0,1,0,0,0,1,0,2,1,1,0,1,0,0
1,0,1,0,0,0,1,0,0,1,1,0,2,1,1,0,0,1,0
2,0,1,0,0,0,1,0,0,0,0,0,2,2,1,0,0,1,0
3,0,1,0,0,0,1,0,0,0,1,1,2,2,1,0,0,0,1
1,0,0,1,0,0,1,0,0,0,1,0,2,1,1,0,1,0,0
2,0,1,0,0,0,1,0,0,0,1,0,3,2,1,1,0,0,0
3,0,1,0,0,0,1,0,0,1,1,0,2,2,1,1,0,0,0
3,0,1,0,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0
1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,1,0,4,1,0,0,1,0,0
2,0,0,1,0,0,1,0,0,0,1,0,3,2,1,1,0,0,0
1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0
1,0,1,0,0,0,1,0,0,0,1,1,3,1,1,1,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,1,0,0,1,0,0,0,0,1,3,1,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0
1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,3,1,1,0,1,0,0
0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0
1,0,1,0,0,0,1,0,0,0,0,1,3,1,1,0,0,1,0
1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1
1,0,1,0,0,0,1,0,0,0,1,1,3,1,0,0,1,0,0
2,0,1,0,0,0,1,0,0,0,1,0,2,2,1,1,0,0,0
1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
1,0,0,0,0,0,1,0,0,0,1,1,3,1,1,0,0,1,0
3,1,0,0,1,1,1,1,1,1,1,0,4,2,0,0,1,0,0
0,0,1,0,1,0,1,1,1,0,0,0,3,0,1,0,0,0,1
0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,0
2,1,0,1,0,1,1,1,1,1,0,0,3,2,0,0,1,0,0
3,1,0,1,0,1,0,1,1,1,0,0,4,2,0,0,0,1,0
0,0,1,1,1,0,1,0,1,0,0,1,4,0,1,0,1,0,0
3,1,0,0,1,1,0,0,1,1,1,0,2,2,0,0,0,0,1
0,0,1,1,0,0,1,0,1,1,0,0,2,0,1,0,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,2,1,1,1,0,0,0
3,0,0,1,1,0,1,1,1,0,0,1,1,2,0,0,0,1,0
3,0,0,1,1,0,0,0,0,0,1,1,3,2,0,1,0,0,0
3,1,0,0,1,1,0,1,0,1,1,1,1,2,0,0,0,1,0
2,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0
1,0,1,1,1,0,0,0,1,1,0,1,3,1,1,0,0,1,0
0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0
1,0,1,1,1,0,1,1,1,1,0,0,2,1,1,0,1,0,0
2,0,0,0,0,0,0,1,0,1,1,0,2,2,0,0,0,0,1
1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0
2,1,0,1,0,1,0,0,1,1,0,1,1,2,0,0,0,0,1
3,1,1,0,0,1,1,0,1,1,0,0,3,2,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,1,0
1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0
3,0,0,0,1,0,0,0,1,1,1,1,3,2,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,1
0,0,0,1,0,0,1,1,1,1,1,1,4,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,0
1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1
0,0,1,0,0,0,1,0,0,1,1,0,3,0,0,0,0,1,0
2,0,0,0,1,0,1,1,1,1,1,0,4,2,0,1,0,0,0
2,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1
0,1,0,1,0,0,1,0,1,1,1,1,3,0,0,0,0,0,1
2,0,0,0,0,0,0,0,1,0,1,1,4,2,1,1,0,0,0
2,0,0,1,1,0,1,0,0,0,1,1,0,2,0,0,1,0,0
2,0,0,0,1,0,1,0,1,1,1,1,2,2,1,1,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
3,1,1,0,0,1,0,0,1,1,0,0,4,2,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0
1,1,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,1,0
1,0,1,0,0,0,0,1,0,0,1,1,2,1,1,0,1,0,0
2,0,0,1,1,0,1,1,1,0,0,1,0,2,0,0,1,0,0
2,0,0,1,1,0,1,1,0,0,0,1,1,2,0,1,0,0,0
0,1,0,1,0,0,1,0,0,0,1,1,2,0,0,0,1,0,0
3,0,0,0,0,0,0,1,1,0,1,1,3,2,0,0,0,1,0
0,0,1,1,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0
0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,1,0
1,1,1,0,1,0,1,0,0,1,0,1,3,1,1,1,0,0,0
3,0,0,1,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0
1,1,0,0,1,0,0,0,1,1,1,0,2,1,0,0,0,0,1
2,1,1,1,0,1,1,1,0,1,1,1,3,2,1,1,0,0,0
2,1,0,0,1,1,0,1,0,0,1,0,1,2,1,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0
3,0,0,1,1,0,1,1,0,0,0,0,0,2,0,1,0,0,0
0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1
3,0,0,1,1,0,0,0,1,0,1,1,1,2,0,0,0,0,1
3,0,1,0,1,0,0,0,0,1,0,0,4,2,0,1,0,0,0
2,1,1,1,0,1,1,0,0,1,0,0,2,2,0,0,0,1,0
0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0
0,1,0,0,0,0,1,1,1,1,1,0,3,0,1,0,0,0,1
0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
3,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,1
1,0,0,1,1,0,0,1,0,0,0,1,2,1,1,0,0,1,0
2,1,1,1,0,1,1,0,0,1,0,1,3,2,1,0,0,1,0
1,0,1,0,0,0,0,1,1,1,1,1,2,1,1,0,0,1,0
0,1,0,0,0,0,1,1,1,1,1,0,3,0,1,0,1,0,0
2,0,0,0,1,0,1,1,1,0,1,1,4,2,0,1,0,0,0
2,0,0,1,0,0,1,1,0,0,1,0,4,2,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1
3,0,1,0,0,0,0,1,0,0,1,0,2,2,1,0,1,0,0
0,0,0,1,0,0,0,0,1,1,1,1,4,0,1,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0
0,0,0,0,1,0,1,1,1,0,0,1,4,0,0,0,0,1,0
2,1,0,1,0,1,1,1,1,1,1,1,0,2,0,0,1,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
3,0,0,1,0,0,0,1,0,0,0,0,4,2,0,0,0,0,1
3,0,1,0,1,0,0,0,1,1,1,0,2,2,0,0,1,0,0
0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0
3,1,1,0,0,1,1,1,0,0,1,0,3,2,1,0,0,0,1
2,0,0,1,0,0,1,1,1,1,0,0,4,2,1,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0
3,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,1,0
0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0
2,1,0,1,0,1,1,1,0,0,0,1,4,2,1,1,0,0,0
0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0
0,1,1,0,1,0,1,0,0,0,0,0,4,0,1,0,1,0,0
0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0
2,0,1,0,0,0,1,0,0,0,0,1,2,2,1,1,0,0,0
3,1,0,1,1,1,0,1,1,1,0,1,4,2,1,0,0,1,0
0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1
0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1
3,0,1,0,1,0,0,0,1,0,1,1,3,2,1,0,0,0,1
3,1,0,1,0,1,0,1,0,1,1,1,0,2,0,0,0,0,1
2,0,0,0,0,0,0,0,1,0,0,1,2,2,1,1,0,0,0
3,0,1,0,1,0,1,1,1,1,1,1,2,2,1,0,1,0,0
2,0,0,1,1,0,1,0,0,1,1,0,4,2,0,0,0,0,1
2,0,1,1,1,0,1,0,0,0,1,1,2,2,0,0,0,1,0
2,0,1,0,0,0,1,1,0,1,0,0,0,2,1,1,0,0,0
0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0
0,1,1,1,0,0,0,1,1,1,0,1,2,0,0,0,0,0,1
3,0,1,1,1,0,1,0,1,0,0,1,3,2,0,0,1,0,0
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,1,1,0,0,1,2,0,1,0,1,0,0
2,1,1,0,1,1,1,0,0,0,0,1,3,2,0,0,0,1,0
2,0,0,0,1,0,1,0,1,0,1,0,2,2,0,0,0,1,0
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
2,0,0,1,0,0,0,1,0,1,1,0,2,2,0,0,0,0,1
0,1,1,1,0,0,0,0,1,0,1,1,3,0,1,0,0,0,1
3,0,0,1,0,0,1,1,1,0,1,0,2,2,0,0,0,0,1
3,1,0,0,1,1,1,1,1,1,0,0,3,2,1,1,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0
2,1,1,1,1,1,1,0,0,0,1,0,1,2,0,0,0,1,0
1,0,1,1,0,0,0,0,1,1,1,0,3,1,1,0,1,0,0
0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0
1,0,1,1,1,0,0,0,1,1,1,0,3,1,1,0,0,1,0
0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0
0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0
3,0,1,1,0,0,1,0,0,0,1,1,2,2,1,0,0,0,1
1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0
1,0,0,0,1,0,0,0,1,1,0,0,4,1,0,0,0,1,0
0,1,1,1,1,0,0,0,1,1,1,1,4,0,0,0,0,0,1
0,0,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1
3,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0
3,1,0,0,0,0,0,0,0,1,0,1,4,2,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
3,0,0,1,1,0,1,0,1,0,0,1,1,2,0,0,0,1,0
1,1,1,0,1,0,1,1,1,0,0,1,3,1,0,0,0,0,1
0,1,0,1,0,0,0,1,1,1,0,1,3,0,1,1,0,0,0
0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,3,0,1,1,0,0,0
3,1,1,1,0,1,0,1,1,1,1,1,1,2,1,0,1,0,0
3,0,0,1,1,0,1,0,1,0,0,1,0,2,1,0,0,0,1
2,1,1,1,1,0,1,1,1,0,1,1,3,2,1,0,0,0,1
2,0,0,0,1,0,0,1,0,1,0,1,1,2,1,0,0,1,0
2,1,1,0,1,0,0,1,0,1,1,1,2,2,1,1,0,0,0
0,0,1,0,1,0,0,1,1,1,1,1,4,0,1,0,0,0,1
2,1,0,0,1,1,0,0,0,0,1,0,4,2,0,0,0,0,1
3,1,1,1,1,0,0,1,1,1,1,1,1,2,0,1,0,0,0
2,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0
2,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0
2,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0
0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,1,1,4,0,0,0,0,1,0
0,1,1,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,1,1,0,2,0,1,1,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
2,0,0,1,0,0,0,0,0,1,1,0,1,2,1,0,1,0,0
2,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
0,0,1,1,0,1,0,0,0,0,1,0,3,0,1,0,0,1,0
0,0,1,1,0,0,0,0,1,0,1,0,3,0,1,0,0,1,0
2,1,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,0,0
2,0,0,0,0,0,1,0,0,0,1,0,2,2,1,0,1,0,0
3,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,0,0,1
1,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,0,0,1
2,0,1,0,0,0,0,0,0,1,1,0,2,2,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0
3,0,1,1,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0
3,0,1,1,0,0,0,0,0,0,1,0,2,2,1,1,0,0,0
2,0,1,1,0,0,0,0,1,0,1,0,2,2,1,1,0,0,0
2,0,1,1,0,0,0,0,0,0,1,0,2,2,1,0,0,0,1
1,0,1,1,0,0,0,0,0,1,1,0,3,1,0,0,1,0,0
1,0,1,1,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0
1,0,1,1,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0
3,0,1,1,0,0,1,0,0,0,1,0,2,2,1,0,0,0,1
3,0,1,1,0,0,0,0,0,0,1,0,2,2,1,0,0,1,0
1,0,0,0,0,0,0,0,1,0,1,1,2,1,1,0,0,1,0
1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,1,2,1,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,1,0,0
0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0
2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
2,0,1,1,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0
2,0,1,1,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0
0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
0,0,1,1,0,1,0,0,0,0,0,1,4,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,1,0
1,0,0,0,0,0,0,0,1,0,1,0,3,1,1,0,1,0,0
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,0,1,1,0,0,0,1,0,0,1,0,3,2,1,0,1,0,0
3,0,1,1,0,0,0,0,0,0,1,0,3,2,1,0,1,0,0
2,0,1,1,1,0,0,0,0,0,1,0,3,2,1,0,1,0,0
3,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0
2,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1
2,0,1,1,0,0,0,0,1,0,0,0,3,2,0,0,0,1,0
3,0,1,0,0,0,0,0,0,1,0,0,2,2,1,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0
2,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,1
2,0,0,0,0,0,1,0,0,1,1,0,1,2,1,0,0,1,0
2,0,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,1,0
2,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0
2,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0
